台灣頻道,#genre#
八大娛樂台,http://108.181.20.197/livehttpplay?channel_id=20071
靖天綜合台,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv046
靖天日本台,http://docker.livednow.dpdns.org/li-4gtv-4gtv047/index.m3u8
靖天日本台,http://docker.livednow.dpdns.org/4gtv-4gtv047/index.m3u8
靖天卡通台,https://smart.pendy.dpdns.org/Smart.php?id=jingtiancartoon_twn
靖天卡通台,http://docker.livednow.dpdns.org/li-4gtv-4gtv044/index.m3u8
靖天卡通台,http://docker.livednow.dpdns.org/4gtv-4gtv044/index.m3u8
靖洋卡通台,http://docker.livednow.dpdns.org/li-4gtv-4gtv057/index.m3u8
靖洋卡通台,http://docker.livednow.dpdns.org/4gtv-4gtv057/index.m3u8
靖天電影台,http://docker.livednow.dpdns.org/4gtv-4gtv061/index.m3u8
靖天電影台,http://docker.livednow.dpdns.org/li-4gtv-4gtv061/index.m3u8
靖天電影台,http://live4play.uk/livehttpplay?channel_id=12037
靖天資訊台,http://docker.livednow.dpdns.org/4gtv-4gtv065/index.m3u8
靖天資訊台,http://docker.livednow.dpdns.org/li-4gtv065/index.m3u8
靖天國際台,https://smart.pendy.dpdns.org/Smart.php?id=jingtianintl_twn
靖天國際台,http://docker.livednow.dpdns.org/4gtv-4gtv063/index.m3u8
靖天國際台,http://docker.livednow.dpdns.org/li-4gtv-4gtv063/index.m3u8
靖天戲劇台,http://docker.livednow.dpdns.org/4gtv-4gtv058/index.m3u8
靖天戲劇台,http://docker.livednow.dpdns.org/li-4gtv-4gtv058/index.m3u8
靖洋戲劇台,http://docker.livednow.dpdns.org/4gtv-4gtv045/index.m3u8
靖洋戲劇台,http://docker.livednow.dpdns.org/li-4gtv-4gtv045/index.m3u8
靖天育樂台,http://docker.livednow.dpdns.org/4gtv-4gtv062/index.m3u8
靖天育樂台,http://docker.livednow.dpdns.org/li-4gtv-4gtv062/index.m3u8
靖天映畫台,http://docker.livednow.dpdns.org/4gtv-4gtv055/index.m3u8
靖天映畫台,http://docker.livednow.dpdns.org/li-4gtv-4gtv055/index.m3u8
靖天歡樂台,http://docker.livednow.dpdns.org/li-4gtv-4gtv054/index.m3u8
靖天歡樂台,http://docker.livednow.dpdns.org/4gtv-4gtv054/index.m3u8
MOMO綜合台,rtmp://f13h.mine.nu/sat/tv761
MOMO綜合台,rtmp://9hv9.mine.nu/sat/tv761
MOMO綜合台,rtmp://60.248.77.83/sat/tv761
華藝MBC綜合台,https://smart.pendy.dpdns.org/Smart.php?id=weishichinese_twn
TLC旅遊生活,https://smart.pendy.dpdns.org/Smart.php?id=tlc_twn
AFC亞洲美食,https://smart.pendy.dpdns.org/Smart.php?id=afc_twn
亞洲旅遊台,https://smart.pendy.dpdns.org/Smart.php?id=asiatravel_twn
EYETV旅遊,https://smart.pendy.dpdns.org/Smart.php?id=eyetvtravel_twn
EYETV戲劇,https://smart.pendy.dpdns.org/Smart.php?id=eyetvxiju_twn
DAZN體育1,https://smart.pendy.dpdns.org/Smart.php?id=golfchannel_twn
DAZN體育1,http://live4play.uk/livehttpplay?channel_id=10104
DAZN體育1,http://108.181.20.197/livehttpplay?channel_id=10104
DAZN體育1,rtmp://f13h.mine.nu/sat/tv731
DAZN體育1,rtmp://9hv9.mine.nu/sat/tv731
DAZN體育1,rtmp://60.248.77.83/sat/tv731
DAZN體育2,http://live4play.uk/livehttpplay?channel_id=10105
DAZN體育2,http://108.181.20.197/livehttpplay?channel_id=10105
DAZN體育2,rtmp://f13h.mine.nu/sat/tv741
DAZN體育2,rtmp://9hv9.mine.nu/sat/tv741
DAZN體育2,rtmp://60.248.77.83/sat/tv741
愛爾達影劇,https://smart.pendy.dpdns.org/Smart.php?id=eltayingju_twn
愛爾達娛樂,http://docker.livednow.dpdns.org/li-4gtv-4gtv070/index.m3u8
愛爾達娛樂,http://docker.livednow.dpdns.org/4gtv-4gtv070/index.m3u8
愛爾達體育1,https://smart.pendy.dpdns.org/Smart.php?id=eltasport_twn
愛爾達體育1,http://live4play.uk/livehttpplay?channel_id=20129
愛爾達體育2,https://smart.pendy.dpdns.org/Smart.php?id=eltasport2_twn
愛爾達體育2,http://live4play.uk/livehttpplay?channel_id=20107
愛爾達體育2,http://108.181.20.197/livehttpplay?channel_id=20107
愛爾達體育3,https://smart.pendy.dpdns.org/Smart.php?id=eltasport3_twn
愛爾達體育4,https://smart.pendy.dpdns.org/Smart.php?id=natgeowild_twn
博斯運動1,http://docker.livednow.dpdns.org/litv-longturn07/index.m3u8
博斯運動1,https://smart.pendy.dpdns.org/Smart.php?id=bosisport1_twn
博斯運動2,http://docker.livednow.dpdns.org/litv-longturn08/index.m3u8
博斯運動2,https://smart.pendy.dpdns.org/Smart.php?id=bosisport2_twn
博斯高球1,http://docker.livednow.dpdns.org/litv-longturn05/index.m3u8
博斯高球1,https://smart.pendy.dpdns.org/Smart.php?id=bosigolf1_twn
博斯高球2,http://docker.livednow.dpdns.org/litv-longturn06/index.m3u8
博斯高球2,https://smart.pendy.dpdns.org/Smart.php?id=bosigolf2_twn
博斯網球,http://docker.livednow.dpdns.org/litv-longturn09/index.m3u8
博斯網球,https://smart.pendy.dpdns.org/Smart.php?id=bositennis_twn
博斯無限,http://docker.livednow.dpdns.org/litv-longturn10/index.m3u8
博斯無限,https://smart.pendy.dpdns.org/Smart.php?id=bosiunlimited_twn
博斯無限2,http://docker.livednow.dpdns.org/litv-longturn13/index.m3u8
博斯魅力,http://docker.livednow.dpdns.org/litv-longturn04/index.m3u8
智林體育台,http://docker.livednow.dpdns.org/4gtv-4gtv101/index.m3u8
智林體育台,http://docker.livednow.dpdns.org/li-4gtv-4gtv101/index.m3u8
TRACESportStars體育,http://docker.livednow.dpdns.org/4gtv-4gtv077/index.m3u8
TRACESportStars體育,http://docker.livednow.dpdns.org/li-4gtv-4gtv077/index.m3u8
時尚運動X,http://docker.livednow.dpdns.org/li-4gtv-4gtv014/index.m3u8
時尚運動X,http://docker.livednow.dpdns.org/4gtv-4gtv014/index.m3u8
CATCHPLAY電影台,http://live4play.uk/livehttpplay?channel_id=10127
CATCHPLAY電影台,http://108.181.20.197/livehttpplay?channel_id=10127
美亞電影台,https://smart.pendy.dpdns.org/Smart.php?id=meiyamovie_twn
美亞電影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
美亞電影台,http://live4play.uk/livehttpplay?channel_id=20197
天映頻道,https://smart.pendy.dpdns.org/Smart.php?id=Celestial
AXN電影,https://smart.pendy.dpdns.org/Smart.php?id=axn_twn
CINEMAX電影,https://smart.pendy.dpdns.org/Smart.php?id=cinemax_twn
HBO,https://smart.pendy.dpdns.org/Smart.php?id=Hbo
HBO,http://live4play.uk/livehttpplay?channel_id=20093
HBO,http://108.181.20.197/livehttpplay?channel_id=20093
HBO HD,https://smart.pendy.dpdns.org/Smart.php?id=hbohd_twn
HBO原創,http://live4play.uk/livehttpplay?channel_id=20314
HBO原創,http://108.181.20.197/livehttpplay?channel_id=20314
HBO家庭,https://smart.pendy.dpdns.org/Smart.php?id=fyi_twn
HBO家庭,http://live4play.uk/livehttpplay?channel_id=20092
HBO家庭,http://108.181.20.197/livehttpplay?channel_id=20092
HBO強檔,http://live4play.uk/livehttpplay?channel_id=20091
HBO強檔,http://108.181.20.197/livehttpplay?channel_id=20091
好萊塢電影,https://smart.pendy.dpdns.org/Smart.php?id=hollywoodmovies_twn
好萊塢電影,http://live4play.uk/livehttpplay?channel_id=20062
好萊塢電影,http://108.181.20.197/livehttpplay?channel_id=20062
FGM電影,http://live4play.uk/livehttpplay?channel_id=10123
FGM電影,http://108.181.20.197/livehttpplay?channel_id=10123
影迷數位電影台,http://docker.livednow.dpdns.org/4gtv-4gtv011/index.m3u8
影迷數位電影台,http://docker.livednow.dpdns.org/li-4gtv-4gtv011/index.m3u8
影迷數位紀實台,http://docker.livednow.dpdns.org/li-litv-ftv15/index.m3u8
影迷數位紀實台,http://docker.livednow.dpdns.org/litv-ftv15/index.m3u8
Astro 愛奇藝,https://smart.pendy.dpdns.org/Smart.php?id=Qiyi
Astro QJ,https://smart.pendy.dpdns.org/Smart.php?id=Quanjia
Astro 歡喜台,https://smart.pendy.dpdns.org/Smart.php?id=Huahee
采昌影劇台,http://docker.livednow.dpdns.org/4gtv-4gtv049/index.m3u8
采昌影劇台,http://docker.livednow.dpdns.org/li-4gtv-4gtv049/index.m3u8
采昌綜合台,http://live4play.uk/livehttpplay?channel_id=20141
戲劇免費看 1台,http://docker.livednow.dpdns.org/4gtv-live010/index.m3u8
